          Model                                   Prune crit.  Sparsity  Mean acc.
0   densenet121                              global_magnitude    0.7500   0.918471
1   densenet121                              global_magnitude    0.9375   0.909639
2   densenet121                              global_magnitude    0.9844   0.894183
3   densenet121                              global_magnitude    0.9961   0.864289
4   densenet121                              global_magnitude    0.9990   0.679406
5   densenet121                        noisy_global_magnitude    0.7500   0.909979
6   densenet121                        noisy_global_magnitude    0.9375   0.902590
7   densenet121                        noisy_global_magnitude    0.9844   0.892399
8   densenet121                        noisy_global_magnitude    0.9961   0.854777
9   densenet121                        noisy_global_magnitude    0.9990   0.665648
10  densenet121                                        random    0.7500   0.911762
11  densenet121                                        random    0.9375   0.847049
12  densenet121                                        random    0.9844   0.694947
13  densenet121                                        random    0.9961   0.182081
14  densenet121                                        random    0.9990   0.099023
15  densenet121                                          snip    0.7500   0.913291
16  densenet121                                          snip    0.9375   0.913546
17  densenet121                                          snip    0.9844   0.893673
18  densenet121                                          snip    0.9961   0.550743
19  densenet121                                          snip    0.9990   0.090955
20  densenet121                      weight_squared_div_flips    0.7500   0.908790
21  densenet121                      weight_squared_div_flips    0.9375   0.900892
22  densenet121                      weight_squared_div_flips    0.9844   0.888323
23  densenet121                      weight_squared_div_flips    0.9961   0.858514
24  densenet121                      weight_squared_div_flips    0.9990   0.741316
25  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.7500   0.914310
26  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9375   0.908195
27  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9844   0.887813
28  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9961   0.861486
29  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9990   0.732654
          Model                                   Prune crit.  Sparsity  Std. acc.
0   densenet121                              global_magnitude    0.7500   0.004719
1   densenet121                              global_magnitude    0.9375   0.000641
2   densenet121                              global_magnitude    0.9844   0.001257
3   densenet121                              global_magnitude    0.9961   0.015791
4   densenet121                              global_magnitude    0.9990   0.026826
5   densenet121                        noisy_global_magnitude    0.7500   0.006122
6   densenet121                        noisy_global_magnitude    0.9375   0.005537
7   densenet121                        noisy_global_magnitude    0.9844   0.003459
8   densenet121                        noisy_global_magnitude    0.9961   0.003192
9   densenet121                        noisy_global_magnitude    0.9990   0.038765
10  densenet121                                        random    0.7500   0.005248
11  densenet121                                        random    0.9375   0.000778
12  densenet121                                        random    0.9844   0.009194
13  densenet121                                        random    0.9961   0.039713
14  densenet121                                        random    0.9990   0.007904
15  densenet121                                          snip    0.7500   0.003246
16  densenet121                                          snip    0.9375   0.006227
17  densenet121                                          snip    0.9844   0.006577
18  densenet121                                          snip    0.9961   0.206590
19  densenet121                                          snip    0.9990   0.000000
20  densenet121                      weight_squared_div_flips    0.7500   0.002586
21  densenet121                      weight_squared_div_flips    0.9375   0.005076
22  densenet121                      weight_squared_div_flips    0.9844   0.003833
23  densenet121                      weight_squared_div_flips    0.9961   0.001030
24  densenet121                      weight_squared_div_flips    0.9990   0.014011
25  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.7500   0.005999
26  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9375   0.002795
27  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9844   0.005059
28  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9961   0.006138
29  densenet121  weight_squared_div_flips_scaling_factor_0.75    0.9990   0.024079
