       Model                                   Prune crit.  Sparsity  Mean acc.
0   resnet18                              global_magnitude    0.7500   0.954633
1   resnet18                              global_magnitude    0.9375   0.950867
2   resnet18                              global_magnitude    0.9844   0.941933
3   resnet18                              global_magnitude    0.9961   0.911067
4   resnet18                              global_magnitude    0.9990   0.806300
5   resnet18                       hoyer_square_lambda1e-4    0.7500   0.867600
6   resnet18                       hoyer_square_lambda1e-4    0.9375   0.867567
7   resnet18                       hoyer_square_lambda1e-4    0.9844   0.866767
8   resnet18                       hoyer_square_lambda1e-4    0.9961   0.866333
9   resnet18                       hoyer_square_lambda1e-4    0.9990   0.851367
10  resnet18                                        random    0.7500   0.943100
11  resnet18                                        random    0.9375   0.901033
12  resnet18                                        random    0.9844   0.783100
13  resnet18                                        random    0.9961   0.493000
14  resnet18                                        random    0.9990   0.136533
15  resnet18                                          snip    0.7500   0.950867
16  resnet18                                          snip    0.9375   0.946300
17  resnet18                                          snip    0.9844   0.915267
18  resnet18                                          snip    0.9961   0.853067
19  resnet18                                          snip    0.9990   0.100000
20  resnet18                      weight_squared_div_flips    0.7500   0.946433
21  resnet18                      weight_squared_div_flips    0.9375   0.944667
22  resnet18                      weight_squared_div_flips    0.9844   0.937200
23  resnet18                      weight_squared_div_flips    0.9961   0.914700
24  resnet18                      weight_squared_div_flips    0.9990   0.825033
25  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.7500   0.940700
26  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9375   0.937700
27  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9844   0.931833
28  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9961   0.911367
29  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9990   0.841667
       Model                                   Prune crit.  Sparsity  Std. acc.
0   resnet18                              global_magnitude    0.7500   0.001002
1   resnet18                              global_magnitude    0.9375   0.001060
2   resnet18                              global_magnitude    0.9844   0.002011
3   resnet18                              global_magnitude    0.9961   0.002050
4   resnet18                              global_magnitude    0.9990   0.004500
5   resnet18                       hoyer_square_lambda1e-4    0.7500   0.004553
6   resnet18                       hoyer_square_lambda1e-4    0.9375   0.003787
7   resnet18                       hoyer_square_lambda1e-4    0.9844   0.002003
8   resnet18                       hoyer_square_lambda1e-4    0.9961   0.003955
9   resnet18                       hoyer_square_lambda1e-4    0.9990   0.004706
10  resnet18                                        random    0.7500   0.001836
11  resnet18                                        random    0.9375   0.001848
12  resnet18                                        random    0.9844   0.012212
13  resnet18                                        random    0.9961   0.079226
14  resnet18                                        random    0.9990   0.063278
15  resnet18                                          snip    0.7500   0.001850
16  resnet18                                          snip    0.9375   0.000964
17  resnet18                                          snip    0.9844   0.003126
18  resnet18                                          snip    0.9961   0.003014
19  resnet18                                          snip    0.9990   0.000000
20  resnet18                      weight_squared_div_flips    0.7500   0.002050
21  resnet18                      weight_squared_div_flips    0.9375   0.002050
22  resnet18                      weight_squared_div_flips    0.9844   0.002427
23  resnet18                      weight_squared_div_flips    0.9961   0.003005
24  resnet18                      weight_squared_div_flips    0.9990   0.001150
25  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.7500   0.001389
26  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9375   0.001375
27  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9844   0.000513
28  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9961   0.000666
29  resnet18  weight_squared_div_flips_scaling_factor_1.25    0.9990   0.003259
