       Model       Prune crit.  Sparsity  Mean acc.
0   resnet18  global_magnitude    0.7500   0.954633
1   resnet18  global_magnitude    0.9375   0.950867
2   resnet18  global_magnitude    0.9844   0.941933
3   resnet18  global_magnitude    0.9961   0.911067
4   resnet18  global_magnitude    0.9990   0.806300
5   resnet18         magnitude    0.7500   0.953167
6   resnet18         magnitude    0.9375   0.946867
7   resnet18         magnitude    0.9844   0.924267
8   resnet18         magnitude    0.9961   0.828133
9   resnet18         magnitude    0.9990   0.270300
10  resnet18            random    0.7500   0.943100
11  resnet18            random    0.9375   0.901033
12  resnet18            random    0.9844   0.783100
13  resnet18            random    0.9961   0.493000
14  resnet18            random    0.9990   0.136533
15  resnet18              snip    0.7500   0.950867
16  resnet18              snip    0.9375   0.946300
17  resnet18              snip    0.9844   0.915267
18  resnet18              snip    0.9961   0.853067
19  resnet18              snip    0.9990   0.100000
20  resnet18           topflip    0.7500   0.941700
21  resnet18           topflip    0.9375   0.936900
22  resnet18           topflip    0.9844   0.926567
23  resnet18           topflip    0.9961   0.884400
24  resnet18           topflip    0.9990   0.726900
25  resnet18  weight_div_flips    0.7500   0.947100
26  resnet18  weight_div_flips    0.9375   0.945300
27  resnet18  weight_div_flips    0.9844   0.937533
28  resnet18  weight_div_flips    0.9961   0.908800
29  resnet18  weight_div_flips    0.9990   0.800033
       Model       Prune crit.  Sparsity  Std. acc.
0   resnet18  global_magnitude    0.7500   0.001002
1   resnet18  global_magnitude    0.9375   0.001060
2   resnet18  global_magnitude    0.9844   0.002011
3   resnet18  global_magnitude    0.9961   0.002050
4   resnet18  global_magnitude    0.9990   0.004500
5   resnet18         magnitude    0.7500   0.001518
6   resnet18         magnitude    0.9375   0.001401
7   resnet18         magnitude    0.9844   0.001595
8   resnet18         magnitude    0.9961   0.028292
9   resnet18         magnitude    0.9990   0.130434
10  resnet18            random    0.7500   0.001836
11  resnet18            random    0.9375   0.001848
12  resnet18            random    0.9844   0.012212
13  resnet18            random    0.9961   0.079226
14  resnet18            random    0.9990   0.063278
15  resnet18              snip    0.7500   0.001850
16  resnet18              snip    0.9375   0.000964
17  resnet18              snip    0.9844   0.003126
18  resnet18              snip    0.9961   0.003014
19  resnet18              snip    0.9990   0.000000
20  resnet18           topflip    0.7500   0.002571
21  resnet18           topflip    0.9375   0.003100
22  resnet18           topflip    0.9844   0.001150
23  resnet18           topflip    0.9961   0.006040
24  resnet18           topflip    0.9990   0.007566
25  resnet18  weight_div_flips    0.7500   0.001217
26  resnet18  weight_div_flips    0.9375   0.000458
27  resnet18  weight_div_flips    0.9844   0.001387
28  resnet18  weight_div_flips    0.9961   0.000854
29  resnet18  weight_div_flips    0.9990   0.005740
