Wall time,Step,Value
1579780153.3868074,1,8.943230511704314e-08
1579780170.4016345,2,8.943230511704314e-08
1579780188.5045168,3,8.943230511704314e-08
1579780207.3242364,4,8.943230511704314e-08
1579780226.1485143,5,8.943230511704314e-08
1579780244.9781704,6,8.943230511704314e-08
1579780263.927213,7,8.943230511704314e-08
1579780283.0309901,8,8.943230511704314e-08
1579780302.119812,9,8.943230511704314e-08
1579780321.1540272,10,8.943230511704314e-08
1579780340.1593695,11,8.943230511704314e-08
1579780359.1297126,12,8.943230511704314e-08
1579780378.1134553,13,8.943230511704314e-08
1579780397.1332784,14,8.943230511704314e-08
1579780416.1653845,15,8.943230511704314e-08
1579780435.1585424,16,8.943230511704314e-08
1579780454.1438391,17,8.943230511704314e-08
1579780473.065089,18,8.943230511704314e-08
1579780491.9776719,19,8.943230511704314e-08
1579780510.8944306,20,8.943230511704314e-08
1579780529.86156,21,8.943230511704314e-08
1579780548.8559966,22,8.943230511704314e-08
1579780567.914323,23,8.943230511704314e-08
1579780586.878375,24,8.943230511704314e-08
1579780605.898122,25,8.943230511704314e-08
1579780624.9085307,26,8.943230511704314e-08
1579780643.829132,27,8.943230511704314e-08
1579780662.8028479,28,8.943230511704314e-08
1579780681.8186817,29,8.943230511704314e-08
1579780700.7430317,30,8.943230511704314e-08
1579780719.745932,31,8.943230511704314e-08
1579780738.7393472,32,8.943230511704314e-08
1579780757.7366254,33,8.943230511704314e-08
1579780776.6682284,34,8.943230511704314e-08
1579780795.6091256,35,8.943230511704314e-08
1579780814.5423715,36,8.943230511704314e-08
1579780833.460682,37,8.943230511704314e-08
1579780852.2848186,38,8.943230511704314e-08
1579780871.2175775,39,8.943230511704314e-08
1579780890.1180015,40,8.943230511704314e-08
1579780909.1254566,41,8.943230511704314e-08
1579780928.075006,42,8.943230511704314e-08
1579780946.9809203,43,8.943230511704314e-08
1579780965.804523,44,8.943230511704314e-08
1579780984.643419,45,8.943230511704314e-08
1579781003.489202,46,8.943230511704314e-08
1579781022.3312585,47,8.943230511704314e-08
1579781041.2696302,48,8.943230511704314e-08
1579781060.1185408,49,8.943230511704314e-08
1579781079.122206,50,8.943230511704314e-08
1579781097.9651892,51,8.943230511704314e-08
1579781116.7943304,52,8.943230511704314e-08
1579781135.6281276,53,8.943230511704314e-08
1579781154.4303885,54,8.943230511704314e-08
1579781173.3250403,55,8.943230511704314e-08
1579781192.262873,56,8.943230511704314e-08
1579781211.2006397,57,8.943230511704314e-08
1579781230.0905023,58,8.943230511704314e-08
1579781249.1131835,59,8.943230511704314e-08
1579781268.0897105,60,8.943230511704314e-08
1579781287.0407674,61,8.943230511704314e-08
1579781306.047925,62,8.943230511704314e-08
1579781325.0844214,63,8.943230511704314e-08
1579781344.0477037,64,8.943230511704314e-08
1579781363.0160878,65,8.943230511704314e-08
1579781381.9997184,66,8.943230511704314e-08
1579781400.969918,67,8.943230511704314e-08
1579781419.8142889,68,8.943230511704314e-08
1579781438.6658041,69,8.943230511704314e-08
1579781457.507821,70,8.943230511704314e-08
1579781476.267122,71,8.943230511704314e-08
1579781495.0857005,72,8.943230511704314e-08
1579781513.9437995,73,8.943230511704314e-08
1579781532.7530303,74,8.943230511704314e-08
1579781551.5629597,75,8.943230511704314e-08
1579781570.4501143,76,8.943230511704314e-08
1579781589.3617058,77,8.943230511704314e-08
1579781608.2617612,78,8.943230511704314e-08
1579781627.2384567,79,8.943230511704314e-08
1579781646.268432,80,8.943230511704314e-08
1579781665.2115169,81,8.943230511704314e-08
1579781684.191494,82,8.943230511704314e-08
1579781703.1684823,83,8.943230511704314e-08
1579781722.237232,84,8.943230511704314e-08
1579781741.1514747,85,8.943230511704314e-08
1579781760.0212328,86,8.943230511704314e-08
1579781778.803539,87,8.943230511704314e-08
1579781797.6936967,88,8.943230511704314e-08
1579781816.5355163,89,8.943230511704314e-08
1579781835.480785,90,8.943230511704314e-08
1579781854.2873464,91,8.943230511704314e-08
1579781873.131703,92,8.943230511704314e-08
1579781891.953974,93,8.943230511704314e-08
1579781910.7518744,94,8.943230511704314e-08
1579781929.583988,95,8.943230511704314e-08
1579781948.3734272,96,8.943230511704314e-08
1579781967.2078729,97,8.943230511704314e-08
1579781986.1582904,98,8.943230511704314e-08
1579782005.126957,99,8.943230511704314e-08
1579782024.1093206,100,8.943230511704314e-08
1579782043.1088936,101,8.943230511704314e-08
1579782062.077977,102,8.943230511704314e-08
1579782081.1020153,103,8.943230511704314e-08
1579782100.134145,104,8.943230511704314e-08
1579782119.0850356,105,8.943230511704314e-08
1579782137.981619,106,8.943230511704314e-08
1579782157.0604475,107,8.943230511704314e-08
1579782176.0980842,108,8.943230511704314e-08
1579782195.0824575,109,8.943230511704314e-08
1579782214.069157,110,8.943230511704314e-08
1579782233.1174529,111,8.943230511704314e-08
1579782252.1627996,112,8.943230511704314e-08
1579782271.06833,113,8.943230511704314e-08
1579782290.082145,114,8.943230511704314e-08
1579782309.1005015,115,8.943230511704314e-08
1579782328.1222668,116,8.943230511704314e-08
1579782346.9390912,117,8.943230511704314e-08
1579782365.7223513,118,8.943230511704314e-08
1579782384.5401196,119,8.943230511704314e-08
1579782403.377672,120,8.943230511704314e-08
1579782422.2706048,121,8.943230511704314e-08
1579782441.100855,122,8.943230511704314e-08
1579782459.9887514,123,8.943230511704314e-08
1579782478.9237432,124,8.943230511704314e-08
1579782497.929775,125,8.943230511704314e-08
1579782516.96285,126,8.943230511704314e-08
1579782535.98199,127,8.943230511704314e-08
1579782555.014523,128,8.943230511704314e-08
1579782573.9806046,129,8.943230511704314e-08
1579782593.0492709,130,8.943230511704314e-08
1579782611.9507258,131,8.943230511704314e-08
1579782630.8568032,132,8.943230511704314e-08
1579782649.6644702,133,8.943230511704314e-08
1579782668.510664,134,8.943230511704314e-08
1579782687.2945156,135,8.943230511704314e-08
1579782706.0879703,136,8.943230511704314e-08
1579782724.9307818,137,8.943230511704314e-08
1579782743.817313,138,8.943230511704314e-08
1579782762.8423076,139,8.943230511704314e-08
1579782781.6896527,140,8.943230511704314e-08
1579782800.52367,141,8.943230511704314e-08
1579782819.4743435,142,8.943230511704314e-08
1579782838.5123444,143,8.943230511704314e-08
1579782857.599364,144,8.943230511704314e-08
1579782876.6290636,145,8.943230511704314e-08
1579782895.666758,146,8.943230511704314e-08
1579782914.7274702,147,8.943230511704314e-08
1579782933.74855,148,8.943230511704314e-08
1579782952.727047,149,8.943230511704314e-08
1579782971.5218287,150,8.943230511704314e-08
